Province_State,Lat,Long_,Confirmed,Deaths
Mississippi,32.7416,-89.6787,20641,938
Missouri,38.4561,-92.2884,18552,975
Montana,46.9219,-110.4544,717,20
Nebraska,41.1254,-98.2681,17812,244
Nevada,38.3135,-117.0554,13240,487
New Hampshire,43.4525,-71.5639,5544,339
New Jersey,40.2989,-74.521,169843,12939
New Mexico,34.8405,-106.2485,10565,469
New York,42.1657,-74.9481,387936,30964
North Carolina,35.6301,-79.8064,52801,1223
North Dakota,47.5289,-99.784,3314,77
Northern Mariana Islands,15.0979,145.6739,30,2
Ohio,40.3888,-82.7649,44808,2488
Oklahoma,35.5653,-96.9289,10516,369
Oregon,44.572,-122.0709,6572,188
Pennsylvania,40.5908,-77.2098,85489,6432
Puerto Rico,18.2208,-66.5901,6525,149
Rhode Island,41.6809,-71.5118,16337,944
South Carolina,33.8569,-80.945,24661,653
South Dakota,44.2998,-99.4388,6297,81
Tennessee,35.7478,-86.6923,34846,526
Texas,31.0545,-97.5635,110699,2306
Utah,40.15,-111.8624,17462,158
Vermont,44.0459,-72.7107,1159,56
Virgin Islands,18.3358,-64.8963,76,6
Virginia,37.7693,-78.17,57994,1611
Washington,47.4009,-121.4905,28874,1248
West Virginia,38.4912,-80.9545,2533,89
Wisconsin,44.2685,-89.6165,24819,744
Wyoming,42.756,-107.3025,1197,20
Alabama,32.3182,-86.9023,351804,4737
Alaska,61.3707,-152.4044,46123,201
American Samoa,-14.271,-170.132,0,0
Arizona,33.7298,-111.4312,507222,8640
Arkansas,34.9697,-92.3731,219246,3603
California,36.1162,-119.6816,2306368,24845
Colorado,39.0598,-105.3111,355786,5368
Connecticut,41.5978,-72.7554,181967,5924
Delaware,39.3185,-75.5071,56189,1047
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,28535,775
Florida,27.7663,-81.6868,1292252,21409
Georgia,33.0406,-83.6431,645690,10779
Grand Princess,,,103,3
Guam,13.4443,144.7937,7293,121
Hawaii,21.0943,-157.4983,21609,285
Idaho,44.2405,-114.4788,138524,1393
Illinois,40.3495,-88.9861,948006,17596
Indiana,39.8494,-86.2583,500282,9216
Iowa,42.0115,-93.2105,278310,3812
Kansas,38.5266,-96.7265,218839,2588
Kentucky,37.6681,-84.6701,261491,2594
Louisiana,31.1695,-91.8678,304485,7397
Maine,44.6939,-69.3819,22909,333
Maryland,39.0639,-76.8021,271061,5803
Massachusetts,42.2302,-71.5301,361079,10362
Michigan,43.3266,-84.5361,523839,12966
Minnesota,45.6945,-93.9002,411110,5255
Mississippi,32.7416,-89.6787,210032,4719
Missouri,38.4561,-92.2884,431137,5608
Montana,46.9219,-110.4544,80426,939
Nebraska,41.1254,-98.2681,163781,1603
Nevada,38.3135,-117.0554,220124,3016
New Hampshire,43.4525,-71.5639,42934,735
New Jersey,40.2989,-74.521,517845,18777
New Mexico,34.8405,-106.2485,139875,2403
New York,42.1657,-74.9481,950473,37505
North Carolina,35.6301,-79.8064,524279,6574
North Dakota,47.5289,-99.784,91542,1276
Northern Mariana Islands,15.0979,145.6739,122,2
Ohio,40.3888,-82.7649,682570,13321
Oklahoma,35.5653,-96.9289,284018,2405
Oregon,44.572,-122.0709,111227,1449
Pennsylvania,40.5908,-77.2098,630681,15422
Puerto Rico,18.2208,-66.5901,75790,1460
Rhode Island,41.6809,-71.5118,86789,1900
South Carolina,33.8569,-80.945,300602,5198
South Dakota,44.2998,-99.4388,98158,1446
Tennessee,35.7478,-86.6923,569648,6710
Texas,31.0545,-97.5635,1715547,27468
Utah,40.15,-111.8624,269326,1235
Vermont,44.0459,-72.7107,7202,130
Virgin Islands,18.3358,-64.8963,1979,23
Virginia,37.7693,-78.17,340297,4920
Washington,47.4009,-121.4905,240846,3369
West Virginia,38.4912,-80.9545,82773,1284
Wisconsin,44.2685,-89.6165,513056,5152
Wyoming,42.756,-107.3025,43923,405
Alabama,32.3182,-86.9023,347897,4712
Alaska,61.3707,-152.4044,45930,200
American Samoa,-14.271,-170.132,0,0
Arizona,33.7298,-111.4312,504423,8469
Arkansas,34.9697,-92.3731,216528,3537
California,36.1162,-119.6816,2269313,24420
Colorado,39.0598,-105.3111,353341,5351
Connecticut,41.5978,-72.7554,181200,5904
Delaware,39.3185,-75.5071,55488,1041
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,28342,771
Florida,27.7663,-81.6868,1280177,21308
Georgia,33.0406,-83.6431,636240,10696
Grand Princess,,,103,3
Guam,13.4443,144.7937,7281,121
Hawaii,21.0943,-157.4983,21508,285
Idaho,44.2405,-114.4788,137010,1377
Illinois,40.3495,-88.9861,942362,17470
Indiana,39.8494,-86.2583,496306,9097
Iowa,42.0115,-93.2105,276649,3744
Kansas,38.5266,-96.7265,218317,2562
Kentucky,37.6681,-84.6701,258516,2563
Louisiana,31.1695,-91.8678,300539,7336
Maine,44.6939,-69.3819,22319,326
Maryland,39.0639,-76.8021,269183,5740
Massachusetts,42.2302,-71.5301,356934,10306
Michigan,43.3266,-84.5361,519876,12754
Minnesota,45.6945,-93.9002,410138,5219
Mississippi,32.7416,-89.6787,208089,4634
Missouri,38.4561,-92.2884,426639,5507
Montana,46.9219,-110.4544,79999,927
Nebraska,41.1254,-98.2681,162849,1587
Nevada,38.3135,-117.0554,218377,2971
New Hampshire,43.4525,-71.5639,42220,715
New Jersey,40.2989,-74.521,513429,18651
New Mexico,34.8405,-106.2485,138659,2382
New York,42.1657,-74.9481,940290,37364
North Carolina,35.6301,-79.8064,520716,6561
North Dakota,47.5289,-99.784,91199,1270
Northern Mariana Islands,15.0979,145.6739,122,2
Ohio,40.3888,-82.7649,675044,13158
Oklahoma,35.5653,-96.9289,282803,2383
Oregon,44.572,-122.0709,110545,1433
Pennsylvania,40.5908,-77.2098,621620,15134
Puerto Rico,18.2208,-66.5901,73658,1456
Rhode Island,41.6809,-71.5118,85602,1883
South Carolina,33.8569,-80.945,298050,5173
South Dakota,44.2998,-99.4388,97657,1446
Tennessee,35.7478,-86.6923,561580,6588
Texas,31.0545,-97.5635,1689434,27276
Utah,40.15,-111.8624,266590,1219
Vermont,44.0459,-72.7107,7120,129
Virgin Islands,18.3358,-64.8963,1979,23
Virginia,37.7693,-78.17,336175,4861
Washington,47.4009,-121.4905,238672,3195
West Virginia,38.4912,-80.9545,81436,1263
Wisconsin,44.2685,-89.6165,510137,5060
Wyoming,42.756,-107.3025,43704,405
Alabama,32.3182,-86.9023,10822,450
Alaska,61.3707,-152.4044,384,10
American Samoa,-14.271,-170.132,0,0
Arizona,33.7298,-111.4312,12216,595
Arkansas,34.9697,-92.3731,4236,97
California,36.1162,-119.6816,73673,2947
Colorado,39.0598,-105.3111,24575,1426
Connecticut,41.5978,-72.7554,34855,3125
Delaware,39.3185,-75.5071,6952,355
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,6584,350
Florida,27.7663,-81.6868,42402,1827
Georgia,33.0406,-83.6431,35427,1517
Grand Princess,,,103,3
Guam,13.4443,144.7937,152,5
Hawaii,21.0943,-157.4983,638,17
Idaho,44.2405,-114.4788,2293,69
Illinois,40.3495,-88.9861,84694,3792
Indiana,39.8494,-86.2583,25473,1638
Iowa,42.0115,-93.2105,13289,306
Kansas,38.5266,-96.7265,7518,188
Kentucky,37.6681,-84.6701,6853,321
Louisiana,31.1695,-91.8678,32662,2381
Maine,44.6939,-69.3819,1515,66
Maryland,39.0639,-76.8021,34812,1809
Massachusetts,42.2302,-71.5301,80497,5315
Michigan,43.3266,-84.5361,48391,4714
Minnesota,45.6945,-93.9002,12917,638
Mississippi,32.7416,-89.6787,10090,465
Missouri,38.4561,-92.2884,10436,556
Montana,46.9219,-110.4544,462,16
Nebraska,41.1254,-98.2681,8912,103
Nevada,38.3135,-117.0554,6476,331
New Hampshire,43.4525,-71.5639,3299,150
New Jersey,40.2989,-74.521,141673,9714
New Mexico,34.8405,-106.2485,5364,231
New York,42.1657,-74.9481,340661,27356
North Carolina,35.6301,-79.8064,16352,625
North Dakota,47.5289,-99.784,1706,40
Northern Mariana Islands,15.0979,145.6739,19,2
Ohio,40.3888,-82.7649,25721,1581
Oklahoma,35.5653,-96.9289,4858,278
Oregon,44.572,-122.0709,3416,134
Pennsylvania,40.5908,-77.2098,62018,4130
Puerto Rico,18.2208,-66.5901,2329,115
Rhode Island,41.6809,-71.5118,11835,600
South Carolina,33.8569,-80.945,8030,362
South Dakota,44.2998,-99.4388,3732,39
Tennessee,35.7478,-86.6923,16587,273
Texas,31.0545,-97.5635,37097,1263
Utah,40.15,-111.8624,6620,75
Vermont,44.0459,-72.7107,929,53
Virgin Islands,18.3358,-64.8963,69,6
Virginia,37.7693,-78.17,26746,928
Washington,47.4009,-121.4905,17512,996
West Virginia,38.4912,-80.9545,1398,58
Wisconsin,44.2685,-89.6165,10902,421
Wyoming,42.756,-107.3025,688,7
Alabama,32.3182,-86.9023,1329827,19695
Alaska,61.3707,-152.4044,264556,1285
American Samoa,-14.271,-170.132,6192,31
Arizona,33.7298,-111.4312,2077346,30372
Arkansas,34.9697,-92.3731,851275,11527
California,36.1162,-119.6816,9858645,91706
Colorado,39.0598,-105.3111,1520324,12807
Connecticut,41.5978,-72.7554,818718,11015
Delaware,39.3185,-75.5071,280252,2970
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,153244,1348
Florida,27.7663,-81.6868,6307534,74953
Georgia,33.0406,-83.6431,2588857,38290
Grand Princess,,,103,3
Guam,13.4443,144.7937,50217,370
Hawaii,21.0943,-157.4983,290652,1465
Idaho,44.2405,-114.4788,456132,4951
Illinois,40.3495,-88.9861,3365525,38344
Indiana,39.8494,-86.2583,1750973,23798
Iowa,42.0115,-93.2105,784302,9614
Kansas,38.5266,-96.7265,794059,8946
Kentucky,37.6681,-84.6701,1378730,16072
Louisiana,31.1695,-91.8678,1279458,17362
Maine,44.6939,-69.3819,266575,2405
Maryland,39.0639,-76.8021,1112705,14694
Massachusetts,42.2302,-71.5301,1900376,20789
Michigan,43.3266,-84.5361,2565819,36538
Minnesota,45.6945,-93.9002,1532528,13039
Mississippi,32.7416,-89.6787,817450,12489
Missouri,38.4561,-92.2884,1482243,20823
Montana,46.9219,-110.4544,280965,3434
Nebraska,41.1254,-98.2681,492292,4329
Nevada,38.3135,-117.0554,749103,10935
New Hampshire,43.4525,-71.5639,329008,2564
New Jersey,40.2989,-74.521,2441637,33879
New Mexico,34.8405,-106.2485,548119,7865
New York,42.1657,-74.9481,5525057,69355
North Carolina,35.6301,-79.8064,2799515,25094
North Dakota,47.5289,-99.784,247126,2285
Northern Mariana Islands,15.0979,145.6739,11482,34
Ohio,40.3888,-82.7649,2798900,38931
Oklahoma,35.5653,-96.9289,1059877,16145
Oregon,44.572,-122.0709,786608,7708
Pennsylvania,40.5908,-77.2098,2956361,45413
Puerto Rico,18.2208,-66.5901,719399,4449
Rhode Island,41.6809,-71.5118,398242,3594
South Carolina,33.8569,-80.945,1524771,17995
South Dakota,44.2998,-99.4388,241326,2928
Tennessee,35.7478,-86.6923,2089863,26546
Texas,31.0545,-97.5635,7025739,88291
Utah,40.15,-111.8624,962209,4793
Vermont,44.0459,-72.7107,133669,673
Virgin Islands,18.3358,-64.8963,20516,115
Virginia,37.7693,-78.17,1827418,20443
Washington,47.4009,-121.4905,1617208,13056
West Virginia,38.4912,-80.9545,523876,7013
Wisconsin,44.2685,-89.6165,1701327,14699
Wyoming,42.756,-107.3025,162160,1824
Alabama,32.3182,-86.9023,10566,435
Alaska,61.3707,-152.4044,384,10
American Samoa,-14.271,-170.132,0,0
Arizona,33.7298,-111.4312,11736,562
Arkansas,34.9697,-92.3731,4164,95
California,36.1162,-119.6816,71641,2867
Colorado,39.0598,-105.3111,24204,1414
Connecticut,41.5978,-72.7554,34333,3041
Delaware,39.3185,-75.5071,6741,339
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,6485,336
Florida,27.7663,-81.6868,41923,1779
Georgia,33.0406,-83.6431,34924,1498
Grand Princess,,,103,3
Guam,13.4443,144.7937,152,5
Hawaii,21.0943,-157.4983,635,17
Idaho,44.2405,-114.4788,2293,69
Illinois,40.3495,-88.9861,83021,3601
Indiana,39.8494,-86.2583,25127,1610
Iowa,42.0115,-93.2105,12912,289
Kansas,38.5266,-96.7265,7240,184
Kentucky,37.6681,-84.6701,6853,321
Louisiana,31.1695,-91.8678,32050,2347
Maine,44.6939,-69.3819,1477,65
Maryland,39.0639,-76.8021,34061,1756
Massachusetts,42.2302,-71.5301,79332,5141
Michigan,43.3266,-84.5361,48021,4674
Minnesota,45.6945,-93.9002,12494,614
Mississippi,32.7416,-89.6787,9908,457
Missouri,38.4561,-92.2884,10297,534
Montana,46.9219,-110.4544,461,16
Nebraska,41.1254,-98.2681,8532,100
Nevada,38.3135,-117.0554,6313,321
New Hampshire,43.4525,-71.5639,3239,142
New Jersey,40.2989,-74.521,141016,9531
New Mexico,34.8405,-106.2485,5212,219
New York,42.1657,-74.9481,338485,27166
North Carolina,35.6301,-79.8064,15622,600
North Dakota,47.5289,-99.784,1639,38
Northern Mariana Islands,15.0979,145.6739,19,2
Ohio,40.3888,-82.7649,25250,1544
Oklahoma,35.5653,-96.9289,4732,278
Oregon,44.572,-122.0709,3358,130
Pennsylvania,40.5908,-77.2098,61257,3954
Puerto Rico,18.2208,-66.5901,2299,114
Rhode Island,41.6809,-71.5118,11614,587
South Carolina,33.8569,-80.945,7927,355
South Dakota,44.2998,-99.4388,3663,39
Tennessee,35.7478,-86.6923,16267,264
Texas,31.0545,-97.5635,36352,1241
Utah,40.15,-111.8624,6432,73
Vermont,44.0459,-72.7107,927,53
Virgin Islands,18.3358,-64.8963,69,6
Virginia,37.7693,-78.17,25800,892
Washington,47.4009,-121.4905,17330,990
West Virginia,38.4912,-80.9545,1378,58
Wisconsin,44.2685,-89.6165,10611,418
Wyoming,42.756,-107.3025,675,7
Alabama,32.3182,-86.9023,1331452,19696
Alaska,61.3707,-152.4044,266731,1285
American Samoa,-14.271,-170.132,6270,31
Arizona,33.7298,-111.4312,2093680,30400
Arkansas,34.9697,-92.3731,852229,11528
California,36.1162,-119.6816,9865234,91734
Colorado,39.0598,-105.3111,1522524,12811
Connecticut,41.5978,-72.7554,819531,11015
Delaware,39.3185,-75.5071,281347,2970
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,153436,1348
Florida,27.7663,-81.6868,6320890,75023
Georgia,33.0406,-83.6431,2608172,38360
Grand Princess,,,103,3
Guam,13.4443,144.7937,50364,370
Hawaii,21.0943,-157.4983,297851,1474
Idaho,44.2405,-114.4788,457026,4954
Illinois,40.3495,-88.9861,3371262,38368
Indiana,39.8494,-86.2583,1753119,23798
Iowa,42.0115,-93.2105,788289,9614
Kansas,38.5266,-96.7265,797743,8943
Kentucky,37.6681,-84.6701,1380447,16078
Louisiana,31.1695,-91.8678,1281002,17369
Maine,44.6939,-69.3819,266933,2406
Maryland,39.0639,-76.8021,1113849,14702
Massachusetts,42.2302,-71.5301,1902067,20800
Michigan,43.3266,-84.5361,2581397,36675
Minnesota,45.6945,-93.9002,1533884,13047
Mississippi,32.7416,-89.6787,818550,12489
Missouri,38.4561,-92.2884,1482768,20824
Montana,46.9219,-110.4544,280965,3434
Nebraska,41.1254,-98.2681,492873,4329
Nevada,38.3135,-117.0554,758379,10967
New Hampshire,43.4525,-71.5639,329230,2565
New Jersey,40.2989,-74.521,2444707,33896
New Mexico,34.8405,-106.2485,549246,7869
New York,42.1657,-74.9481,5529833,69387
North Carolina,35.6301,-79.8064,2823979,25140
North Dakota,47.5289,-99.784,247344,2285
Northern Mariana Islands,15.0979,145.6739,11482,34
Ohio,40.3888,-82.7649,2798900,38941
Oklahoma,35.5653,-96.9289,1059877,16145
Oregon,44.572,-122.0709,788127,7721
Pennsylvania,40.5908,-77.2098,2956361,45413
Puerto Rico,18.2208,-66.5901,723832,4460
Rhode Island,41.6809,-71.5118,398622,3595
South Carolina,33.8569,-80.945,1524771,17995
South Dakota,44.2998,-99.4388,242298,2931
Tennessee,35.7478,-86.6923,2092088,26572
Texas,31.0545,-97.5635,7032903,88321
Utah,40.15,-111.8624,962209,4793
Vermont,44.0459,-72.7107,134415,679
Virgin Islands,18.3358,-64.8963,20562,117
Virginia,37.7693,-78.17,1830122,20448
Washington,47.4009,-121.4905,1622214,13084
West Virginia,38.4912,-80.9545,524432,7016
Wisconsin,44.2685,-89.6165,1703197,14711
Wyoming,42.756,-107.3025,162160,1824
Alabama,32.3182,-86.9023,26182,773
Alaska,61.3707,-152.4044,673,12
American Samoa,-14.271,-170.132,0,0
Arizona,33.7298,-111.4312,35706,1191
Arkansas,34.9697,-92.3731,12501,179
California,36.1162,-119.6816,153225,5014
Colorado,39.0598,-105.3111,31457,1673
Connecticut,41.5978,-72.7554,45088,4201
Delaware,39.3185,-75.5071,10264,541
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,9767,515
Florida,27.7663,-81.6868,75568,2931
Georgia,33.0406,-83.6431,57681,2451
Grand Princess,,,103,3
Guam,13.4443,144.7937,183,5
Hawaii,21.0943,-157.4983,728,17
Idaho,44.2405,-114.4788,3399,87
Illinois,40.3495,-88.9861,132543,6308
Indiana,39.8494,-86.2583,39909,2372
Iowa,42.0115,-93.2105,23926,652
Kansas,38.5266,-96.7265,11101,245
Kentucky,37.6681,-84.6701,12445,499
Louisiana,31.1695,-91.8678,46619,3014
Maine,44.6939,-69.3819,2793,100
Maryland,39.0639,-76.8021,61701,2939
Massachusetts,42.2302,-71.5301,105603,7624
Michigan,43.3266,-84.5361,66054,6016
Minnesota,45.6945,-93.9002,30471,1329
Mississippi,32.7416,-89.6787,19516,891
Missouri,38.4561,-92.2884,16257,893
Montana,46.9219,-110.4544,601,19
Nebraska,41.1254,-98.2681,16730,215
Nevada,38.3135,-117.0554,11201,463
New Hampshire,43.4525,-71.5639,5318,320
New Jersey,40.2989,-74.521,167425,12659
New Mexico,34.8405,-106.2485,9723,435
New York,42.1657,-74.9481,383324,30667
North Carolina,35.6301,-79.8064,44264,1132
North Dakota,47.5289,-99.784,3104,74
Northern Mariana Islands,15.0979,145.6739,30,2
Ohio,40.3888,-82.7649,41148,2408
Oklahoma,35.5653,-96.9289,8231,359
Oregon,44.572,-122.0709,5377,173
Pennsylvania,40.5908,-77.2098,82563,6228
Puerto Rico,18.2208,-66.5901,5811,147
Rhode Island,41.6809,-71.5118,15947,909
South Carolina,33.8569,-80.945,18795,600
South Dakota,44.2998,-99.4388,5898,75
Tennessee,35.7478,-86.6923,30300,475
Texas,31.0545,-97.5635,85202,2090
Utah,40.15,-111.8624,14313,139
Vermont,44.0459,-72.7107,1127,55
Virgin Islands,18.3358,-64.8963,72,6
Virginia,37.7693,-78.17,54506,1546
Washington,47.4009,-121.4905,26158,1209
West Virginia,38.4912,-80.9545,2290,88
Wisconsin,44.2685,-89.6165,22758,692
Wyoming,42.756,-107.3025,1060,18
Alabama,32.3182,-86.9023,1304710,19628
Alaska,61.3707,-152.4044,256089,1268
American Samoa,-14.271,-170.132,5999,30
Arizona,33.7298,-111.4312,2030925,30230
Arkansas,34.9697,-92.3731,838251,11415
California,36.1162,-119.6816,9350150,90695
Colorado,39.0598,-105.3111,1456340,12591
Connecticut,41.5978,-72.7554,779460,10914
